Host Name,OS,OS - EOL RATING,LOCATION,REGION,System Classification,Applications / Business Processes / functions ,"VBP, DR, or SLA",Brand,Model,Type / Product #,Serial Number,MODEL - EOL RATING,MODEL,Location Address,Location,
JPPOSAKSMN050,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,DL380p G8,,,IBM__DC A_ 4F
JPPOSAKSDB300,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,DL380p G8,,,IBM__DC A_ 4F
JPQTYOCTDB291,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,EXIT,DL385,,,IBM__DC A_ 4F
JPQOSAKSDB291,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,EXIT,DL385,,,IBM__DC A_ 4F
JPQTYODCFS040,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
JPQTYOCTAP330,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
JPQTYOCTWB171,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
JPQTYOCTWB172,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
JPQTYOCTEX041,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
JPQTYOCTEX061,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
ASQTYOCTEX021,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
GLQOSAKSWB010,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
JPQTYOCTAP350,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
JPQTYOCTDB580,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
JPQTYODCAP020,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
JPQTYOCTAP220,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
JPQTYOCTAP230,W2008 R2,SUNSET,JP - Nanko DC,API,Pre-Production,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
GLPOSAKSWB131,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
JPPOSAKSEX032,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
GLPOSAKSEX012,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
GLPOSAKSDB140,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
JPPOSAKSAP180,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
JPPOSAKSDB110,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
JPPOSAKSDB160,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
JPPOSAKSMN190,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
GLPOSAKSWB132,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,MAINSTREAM,VIRTUAL,,,IBM__DC A_ 4F
